index	e	o	t	k	T	S
426	0.05	1	0.8	0.9	10	50
427	0.05	1	0.8	0.3	1	50
428	0.05	1	0.8	0.4	1	10
429	0.05	1	0.8	0.6	5	10
430	0.05	1	0.8	0.4	10	5
431	0.05	1	0.8	0.3	1	1
432	0.05	1	0.8	0.1	1	50
433	0.05	1	0.8	0.6	1	50
434	0.05	1	0.8	0.1	10	5
435	0.05	1	0.8	0.1	1	1
436	0.05	1	0.8	1	1	10
437	0.05	1	0.8	0.1	1	10
438	0.05	1	0.8	0.1	1	5
439	0.05	1	0.8	0.3	5	10
440	0.05	1	0.8	0.1	10	1
441	0.05	1	0.8	0.6	5	50
442	0.05	1	0.8	0.7	1	50
443	0.05	1	0.8	0.9	5	10
444	0.05	1	0.8	0.5	10	50
445	0.05	1	0.8	0.1	5	10
446	0.05	1	0.8	0.8	5	50
447	0.05	1	0.8	0.5	10	1
448	0.05	1	0.8	0.7	5	10
449	0.05	1	0.8	0.4	1	50
450	0.05	1	0.8	0.3	5	5
451	0.05	1	0.8	0.2	10	10
452	0.05	1	0.8	0.7	10	5
453	0.05	1	0.8	0.8	10	1
454	0.05	1	0.8	0.3	10	10
455	0.05	1	0.8	0.5	5	5
456	0.05	1	0.8	0.7	10	1
457	0.05	1	0.8	0.5	1	5
458	0.05	1	0.8	1	1	1
459	0.05	1	0.8	1	1	5
460	0.05	1	0.8	0.4	5	10
461	0.05	1	0.8	1	10	1
462	0.05	1	0.8	0.9	10	1
463	0.05	1	0.8	0.5	1	50
464	0.05	1	0.8	0.2	5	50
465	0.05	1	0.8	0.4	5	5
466	0.05	1	0.8	0.7	5	50
467	0.05	1	0.8	0.9	5	50
468	0.05	1	0.8	0.6	1	5
469	0.05	1	0.8	1	10	10
470	0.05	1	0.8	0.6	5	5
471	0.05	1	0.8	0.7	5	1
472	0.05	1	0.8	0.8	10	10
473	0.05	1	0.8	0.2	10	50
474	0.05	1	0.8	0.8	10	50
475	0.05	1	0.8	0.1	5	5
476	0.05	1	0.8	1	10	50
477	0.05	1	0.8	1	1	50
478	0.05	1	0.8	0.9	1	5
479	0.05	1	0.8	0.8	1	5
480	0.05	1	0.8	1	5	5
